,Candidate Name,Committee Name,Contributor Type,Date of Receipt,Amount,Year,Office
0,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,12/20/2013,114,2014.0,Democratic National Committeewoman
1,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,12/20/2013,34.97,2014.0,Democratic National Committeewoman
2,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,1/19/2014,82.4,2014.0,Democratic National Committeewoman
3,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,1/20/2014,82.4,2014.0,Democratic National Committeewoman
4,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,1/9/2014,46.51,2014.0,Democratic National Committeewoman
5,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,12/20/2013,12.72,2014.0,Democratic National Committeewoman
6,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,12/15/2013,11.88,2014.0,Democratic National Committeewoman
7,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,1/6/2014,5,2014.0,Democratic National Committeewoman
8,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,2/24/2014,25,2014.0,Democratic National Committeewoman
9,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,2/11/2014,6.09,2014.0,Democratic National Committeewoman
10,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,2/22/2014,38.03,2014.0,Democratic National Committeewoman
11,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,2/10/2014,120.27,2014.0,Democratic National Committeewoman
12,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,2/13/2014,42.91,2014.0,Democratic National Committeewoman
13,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,2/18/2014,8,2014.0,Democratic National Committeewoman
14,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Candidate,3/14/2014,1,2014.0,Democratic National Committeewoman
15,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Individual,3/14/2014,1,2014.0,Democratic National Committeewoman
16,Acqunetta Anderson ,Anderson for DC Democratic National Committeewoman,Individual,3/14/2014,1,2014.0,Democratic National Committeewoman
17,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/11/2013,5,2014.0,Council Ward 1
18,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/11/2013,25,2014.0,Council Ward 1
19,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/11/2013,1,2014.0,Council Ward 1
20,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/26/2013,1,2014.0,Council Ward 1
21,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/21/2013,5,2014.0,Council Ward 1
22,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/23/2013,25,2014.0,Council Ward 1
23,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/30/2013,1,2014.0,Council Ward 1
24,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,11/5/2013,5,2014.0,Council Ward 1
25,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,11/6/2013,2,2014.0,Council Ward 1
26,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,11/12/2013,3,2014.0,Council Ward 1
27,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,11/13/2013,25,2014.0,Council Ward 1
28,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,11/30/2013,1,2014.0,Council Ward 1
29,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,12/3/2013,5,2014.0,Council Ward 1
30,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,11/6/2013,5,2014.0,Council Ward 1
31,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,3/23/2014,25,2014.0,Council Ward 1
